1	4	1	1	19	545	3	3	1	1	3	95,20	93,7	81,94	0,39	2
1	2	1	1	18	303	3	3	1	1	3	99,30	100,00	63,87	0,29	2
1	2	1	1	18	345	2	3	1	1	3	99,00	96,10	61,29	0,29	2
1	2	1	1	20	585	2	3	1	1	4	113,20	111,00	82,58	0,59	2
1	2	1	1	19	393	3	3	1	1	4	92,30	91,20	76,77	0,39	2
1	2	1	1	18	444	2	3	1	1	3	102,30	102,20	75,48	0,59	2
1	2	1	1	18	417	3	3	1	1	3	102,60	100,80	60,65	0,49	2
1	2	1	1	20	412	3	3	1	1	1	81,20	80,40	63,87	0,49	1
1	2	1	1	20	439	2	2	1	1	3	104,50	103,30	78,71	0,59	1
1	2	1	1	20	548	3	4	1	1	4	110,30	110,40	61,29	0,19	3
1	2	1	1	19	514	3	4	1	1	3	94,70	93,90	88,39	0,20	2
1	2	1	1	21	454	2	1	1	1	4	100,30	100,80	63,23	0,38	1
1	2	1	1	20	378	1	4	1	1	4	103,20	102,50	77,42	0,20	2
1	2	1	1	19	338	1	3	1	1	3	107,00	105,20	77,42	0,20	1
1	2	1	1	18	437	3	3	1	1	4	90,80	88,80	68,39	0,68	2
1	2	1	1	18	550	2	2	1	1	3	91,20	91,10	58,71	0,19	1
1	2	1	1	18	315	2	3	1	1	3	95,60	95,80	68,39	0,40	2
1	2	1	1	21	421	2	3	1	1	3	86,60	86,50	83,23	0,30	2
1	2	1	1	19	375	2	2	1	1	4	90,90	89,40	87,10	0,40	2
1	2	1	1	19	329	2	3	1	1	4	94,20	93,10	94,19	0,39	2
1	2	1	1	18	566	2	3	1	1	4	123,30	120,40	73,55	0,48	2
1	2	1	1	19	531	3	3	1	1	4	93,90	92,90	89,68	0,37	2
1	2	1	1	18	422	3	4	1	1	3	105,90	106,00	81,29	0,49	2
1	2	1	1	18	402	2	1	1	1	4	105,80	105,50	77,42	0,58	1
1	2	1	1	20	477	1	4	1	1	4	89,40	88,30	87,74	0,29	2
1	2	1	1	19	333	2	1	1	1	3	92,90	91,70	76,13	0,34	1
1	2	1	1	18	393	2	3	1	1	4	108,80	107,30	83,87	0,31	2
1	2	1	1	18	525	2	3	1	1	4	83,50	82,50	72,90	0,37	2
1	2	1	1	20	469	3	3	1	1	3	104,80	106,40	60,65	0,13	2
